Date;Year;Month;Area;Area.Type;Variable;Variable.Type;Generation (GWh);YoY change (%);YoY change (GWh);Cumul. Generation (GWh);Cumul. YoY change (%);Cumul. YoY change (GWh);;
ene-18;2018;1;Austria;EU Country;Demand;Demand;5971;;;5971;;;;
ene-18;2018;1;Austria;EU Country;Production;Production;5219;;;5219;;;;
ene-18;2018;1;Austria;EU Country;Net imports;Net imports;594;;;594;;;;
ene-18;2018;1;Austria;EU Country;Statistical difference;Statistical difference;158;;;158;;;;
ene-18;2018;1;Austria;EU Country;Gas;Fossil;1144;;;1144;;;;
ene-18;2018;1;Austria;EU Country;Hard Coal;Fossil;216;;;216;;;;
ene-18;2018;1;Austria;EU Country;Other fossil;Fossil;16;;;16;;;;
ene-18;2018;1;Austria;EU Country;Bioenergy;Renewables;237;;;237;;;;
ene-18;2018;1;Austria;EU Country;Hydro;Renewables;2897;;;2897;;;;
ene-18;2018;1;Austria;EU Country;Other renewables;Renewables;0;;;0;;;;
ene-18;2018;1;Austria;EU Country;Solar;Renewables;34;;;34;;;;
ene-18;2018;1;Austria;EU Country;Wind;Renewables;600;;;600;;;;
ene-18;2018;1;Austria;EU Country;Waste;Waste;74;;;74;;;;
ene-18;2018;1;Belgium;EU Country;Demand;Demand;8013;;;8013;;;;
ene-18;2018;1;Belgium;EU Country;Production;Production;6990;;;6990;;;;
ene-18;2018;1;Belgium;EU Country;Net imports;Net imports;1009;;;1009;;;;
ene-18;2018;1;Belgium;EU Country;Statistical difference;Statistical difference;14;;;14;;;;
ene-18;2018;1;Belgium;EU Country;Gas;Fossil;1514;;;1514;;;;
ene-18;2018;1;Belgium;EU Country;Hard Coal;Fossil;0;;;0;;;;
ene-18;2018;1;Belgium;EU Country;Other fossil;Fossil;510;;;510;;;;
ene-18;2018;1;Belgium;EU Country;Bioenergy;Renewables;254;;;254;;;;
ene-18;2018;1;Belgium;EU Country;Hydro;Renewables;21;;;21;;;;
ene-18;2018;1;Belgium;EU Country;Solar;Renewables;54;;;54;;;;
ene-18;2018;1;Belgium;EU Country;Wind;Renewables;781;;;781;;;;
ene-18;2018;1;Belgium;EU Country;Nuclear;Nuclear;3675;;;3675;;;;
ene-18;2018;1;Belgium;EU Country;Waste;Waste;180;;;180;;;;
ene-18;2018;1;Bulgaria;EU Country;Demand;Demand;3894;;;3894;;;;
ene-18;2018;1;Bulgaria;EU Country;Production;Production;4072;;;4072;;;;
ene-18;2018;1;Bulgaria;EU Country;Net imports;Net imports;-145;;;-145;;;;
ene-18;2018;1;Bulgaria;EU Country;Statistical difference;Statistical difference;-33;;;-33;;;;
ene-18;2018;1;Bulgaria;EU Country;Gas;Fossil;226;;;226;;;;
ene-18;2018;1;Bulgaria;EU Country;Hard Coal;Fossil;62;;;62;;;;
ene-18;2018;1;Bulgaria;EU Country;Lignite;Fossil;1804;;;1804;;;;
ene-18;2018;1;Bulgaria;EU Country;Bioenergy;Renewables;25;;;25;;;;
ene-18;2018;1;Bulgaria;EU Country;Hydro;Renewables;219;;;219;;;;
ene-18;2018;1;Bulgaria;EU Country;Solar;Renewables;64;;;64;;;;
ene-18;2018;1;Bulgaria;EU Country;Wind;Renewables;103;;;103;;;;
ene-18;2018;1;Bulgaria;EU Country;Nuclear;Nuclear;1567;;;1567;;;;
ene-18;2018;1;Bulgaria;EU Country;Waste;Waste;3;;;3;;;;
ene-18;2018;1;Cyprus;EU Country;Demand;Demand;375;;;375;;;;
ene-18;2018;1;Cyprus;EU Country;Production;Production;400;;;400;;;;
ene-18;2018;1;Cyprus;EU Country;Net imports;Net imports;0;;;0;;;;
ene-18;2018;1;Cyprus;EU Country;Statistical difference;Statistical difference;-25;;;-25;;;;
ene-18;2018;1;Cyprus;EU Country;Other fossil;Fossil;380;;;380;;;;
ene-18;2018;1;Cyprus;EU Country;Wind;Renewables;20;;;20;;;;
ene-18;2018;1;Czech Republic;EU Country;Demand;Demand;6182;;;6182;;;;
ene-18;2018;1;Czech Republic;EU Country;Production;Production;6711;;;6711;;;;
